date,res_ver(android),memo
20190912,,
20190919,,
20190920,,
20190926,,
20190927,,
20190930,,
20191002,,
20191007,,
20191011,,
20191014,,
20191018,,halloween
20191021,,HMSmaster
20191025,,bug_fix
20191028,,
20191029,,
20191029,,appUPDATE
20191029,,HJPopenerFIX
20191031,,library
20191104,,library2
20191111,,HZDmasterCLOSED
20191113,,melsaRerun
20191115,,HZDreopen
20191118,,
20191121,,
20191125,,
20191128,,
20191128,,1.14.0
20191129,,gleofix
20191129,,Megaman
20191202,,
20191206,,
20191209,,
20191212,,
20191216,,
20191225,,1.15.0
20191225,,
20191226,,agito
20191231,,newyear
20191231,,gachafix
20200110,,
20200114,,
20200121,,
20200123,,
20200127,,
20200127,,appupdate
20200129,,1130
20200129,,2115mc_bug
20200204,,mhp2
20200206,,0.08
20200213,,
20200214,,valentine
20200220,,DChimera
20200226,,appupdate
20200228,,agito
20200303,,
20200303,,swdFSfix
20200311,,
20200312,,
20200317,,
20200323,,
20200325,,appupdate
20200325,,night
20200325,,
20200327,,
20200330,,
20200331,,1.5raid
20200331,,manacirclefix
20200401,,aprilfool
20200402,,
20200406,,
20200406,,amuletexcgfix
20200410,,
20200413,,
20200417,,
20200420,,
20200424,,MARS
20200427,,appupdate
20200427,,master
20200428,,
20200430,,
20200430,,3mb
20200504,,
20200504,,bugfix
20200511,dCBbWhjE2dn9CkWN,
20200512,tKHNb0acUXEZmrOs,
20200522,rwszwc4sujligsus,
20200525,EzVnD7X0RKecgzHj,1.20.0data
20200526,DcTLUAV1Ocf0QXrO,masterAGITO
20200526,oOGNbNUiwIJAAiKZ,debugmenu
20200527,YzNCw0TyGJlxqJjj,yatenFIX
20200529,iN8BUd6WE7mxdD3S,
20200603,mpJUw7pLCaNUiGrS,
20200610,nslrMaf2yLYRW3vV,
20200612,zqLU44Xfbs4ZlaD3,
20200615,LRnu3rWu647LPg32,
20200619,nyLViPCy6ZhzhkqC,
20200622,9K8R0HRaB72UPScR,
20200624,U3Do0l3gdUdGIF4O,
20200629,WLFrDSRo1ERAim5h,
20200703,CpaDRUu8s7bpttdP,
20200710,xcrdMepbPe7FpewP,
20200713,Rkxo5aqoFhIwJcDZ,
20200715,PKHBHM88AnNBysii,
20200717,gX3mSMh57JQxjxXf,
20200720,f0gNq2SiiPji7U7M,
20200722,PKSMSEATXf115eI0,
20200727,ZkhS61xEOMxy4K7U,10:30am
20200727,iEbaxWlPzam57rtN,appupdate
20200728,wAJMIhFmKiQqpYvG,masterAGITO
20200730,Dqlp7R50gYHxh4X5,fesdagger
20200730,xFsVDpLXOu9wiyRF,sakurafix
20200804,zG6V5jeJKbt1sHyi,13:40 platinum carryend202009251050
20200807,V2S6OgtlaWweabI0,13:40!!!!
20200811,pEuTr3ESvvu79rDw,14:00 onslaught event
20200814,h7UQrBKRO57EkQZZ,13:40 yukata fesex
20200817,Gn8fgZchrcYhij9W,13:40 dragon legend
20200818,vtKaxXkEk5bsins4,14:00 new chapter & Melodious Summer rerun
20200825,n5A2dj4S36C2evlp,13:40 Agents of the Goddess event preview
20200827,vmOJZOJDYsWkpElN,10:30
20200827,ZyCWBkDyfYZ0h3jU,appupdate
20200828,GOKEKuAWG3oeQCWy,14:00 agito & Agents of the Goddess event
20200828,In0HD3kpWA9m9ZDo,21:15 tartarus fix
20200903,7uHxFwU0ErUDR4yY,13:40 70mc
20200909,tlrNhTagkBMXZyKM,13:40 defend preview
20200911,3fck5gxkH73tbUxo,14:00 defend battle
20200915,PERQFzDnXPqsgjGh,13:40 fire pickup
20200918,qWoSmjQXOZ9Zlmj0,13:40 chronos rerun preview
20200921,IeLazHAje7oFnpbV,14:00 countdown chronos rerun
20200925,plkaDGmSrHL2hhe8,11:00 2.0.0 app update! 
20200927,MV2M0tB8d23y0f3M,14:00 fesmix
20200928,adGcr2GTaGec47Fw,14:00 weekly bonus 3->5
20200930,vOdu87tvIj7oEBu9,14:00 anniversary raid part1 & zena fes
20201005,ctA0ok1hpqbQLNpi,14:00 iria & anniversary raid part2
20201009,rUAJ84rrQoQKbHPT,14:00 master agito & wind platinum
20201012,lgAMJZOe6RAUaGfu,13:40 halloween onslaught & dragon pickup/platinum
20201016,0s9kIoOlyfJCynPl,13:40 halloween fesex
20201019,i6KrmfdfCODkjIoY,13:40 library 1+2 rerun
20201022,uEFtwvE4V2GcTlHf,14:00 chapter 16
20201023,QeOXRzaLSk9AkvEI,13:40 valentine gacha
20201026,z1DG0g9xOo80LTeS,11:00 app update
20201027,zJ5tYnaD7CKBdsiV,14:00 kaitou & master agito
20201030,3onIYAGX7C8sVusx,13:40 FES ex poseidon
20201102,i2KQUEjJSBn8arFS,14:00 BR Cupid
20201104,bLJAeZLv7OyXr5vC,13:40 karina gacha & fes poseidon buff
20201106,yuTLFybqCfp3ydsw,13:40 light platinum & defend preview
20201109,2WwgQ0wZyx4oYt7S,13:40 defend battle
20201111,Q9dwsklV74JRzQk3,14:00 master tartarus
20201113,ziG2a3wZmqghCYnc,13:40 negotiators fesex
20201116,0RerC7y9c9oBQ2mK,13:40 2020newyear rerun
20201123,08NV7KO9YyXMIlB2,13:40 chapter 16 interlude
20201126,3LpNo8zQRmEBWpKY,11:00 app update
20201127,aBYpbLFVwmiOGOrC,14:00 LEGEND WIND AGITO
20201130,5PTeAdEsB0WYRzxy,13:40 priconne collab
20201207,gh2V8gX93j1K5xyD,13:40 70mc*2 & light PU
20201211,Sh3XK6NMv7neVgaf,13:40 dragonyule onslaught preview (Lily!)
20201214,w3z3UrxBrkDE8Jsq,13:40 dragonyule onslaught
20201215,PQ4QGdAoBUsWzYC1,13:40 dragonyule fesex
20201218,zzMasNuJvEhRLhoR,14:00 chapter 17 & DY 70mc
20201221,ylZUHZdeAdPFH4im,13:40 fire platinum
